GAME_ID,MIN_HOME,PTS_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,TEAM_NAME_HOME,GAME_DATE_HOME,WL_HOME,MIN_AWAY,PTS_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,TEAM_NAME_AWAY,GAME_DATE_AWAY,WL_AWAY
0021500023,239.5,93.0,35.5,81.5,0.438,4.5,12.5,0.35250000000000004,17.5,23.0,0.757,8.5,36.0,44.5,17.0,7.0,7.0,9.5,23.5,11.5,Utah Jazz,2015-10-30 00:00:00,W,239.5,83.0,26.5,73.0,0.356,6.5,18.5,0.359,23.5,30.0,0.8,11.0,31.5,42.5,13.5,7.5,5.5,20.0,22.0,-22.5,Philadelphia 76ers,2015-10-30 00:00:00,L
0021500024,239.5,109.5,36.0,81.0,0.4445,9.0,22.0,0.406,28.5,37.0,0.7745,9.0,42.5,51.5,21.0,9.5,2.5,20.5,28.5,8.5,Toronto Raptors,2015-10-30 00:00:00,W,240.0,107.5,35.5,85.0,0.4175,7.5,25.0,0.30100000000000005,29.0,34.0,0.8714999999999999,8.5,31.0,39.5,27.0,12.0,5.0,17.0,25.5,3.5,Boston Celtics,2015-10-30 00:00:00,L
0021500025,248.33333333333334,98.66666666666667,35.333333333333336,91.33333333333333,0.38833333333333336,8.333333333333334,25.333333333333332,0.332,19.666666666666668,29.333333333333332,0.668,17.0,37.333333333333336,54.333333333333336,19.0,5.333333333333333,3.0,13.0,18.0,7.0,Detroit Pistons,2015-10-30 00:00:00,W,248.0,102.0,37.666666666666664,83.0,0.456,9.333333333333334,23.0,0.3953333333333333,17.333333333333332,23.0,0.759,6.666666666666667,38.666666666666664,45.333333333333336,17.0,7.666666666666667,7.0,17.0,23.333333333333332,4.333333333333333,Chicago Bulls,2015-10-30 00:00:00,L
0021500026,241.0,94.0,34.5,86.0,0.401,9.0,27.0,0.325,16.0,21.0,0.764,12.0,36.5,48.5,19.5,5.5,3.5,13.0,18.0,-6.5,Charlotte Hornets,2015-10-30 00:00:00,L,240.0,101.0,38.333333333333336,82.66666666666667,0.46366666666666667,8.666666666666666,24.666666666666668,0.35366666666666663,15.666666666666666,21.0,0.755,7.333333333333333,34.0,41.333333333333336,23.666666666666668,9.666666666666666,4.0,15.0,20.0,0.6666666666666666,Atlanta Hawks,2015-10-30 00:00:00,W
0021500027,239.5,103.0,34.0,76.0,0.454,9.5,24.5,0.4105,25.5,34.5,0.709,11.5,31.5,43.0,21.0,7.5,7.0,19.0,17.0,3.0,Washington Wizards,2015-10-30 00:00:00,W,240.5,105.0,36.0,84.0,0.4305,8.0,21.0,0.396,25.0,29.5,0.8445,12.0,27.5,39.5,25.0,8.0,3.0,17.0,29.5,-15.0,Milwaukee Bucks,2015-10-30 00:00:00,L
0021500028,238.0,87.5,35.0,85.0,0.41100000000000003,2.5,12.5,0.1565,15.0,21.5,0.6595,9.0,29.5,38.5,18.0,8.5,5.5,14.0,17.5,-21.0,Brooklyn Nets,2015-10-30 00:00:00,L,241.0,104.0,42.5,89.5,0.47450000000000003,7.0,18.5,0.371,12.0,13.0,0.923,9.5,36.5,46.0,22.5,9.0,6.5,15.5,17.0,10.5,San Antonio Spurs,2015-10-30 00:00:00,W
0021500029,240.0,103.5,34.0,77.0,0.4405,3.5,15.5,0.216,32.0,39.0,0.8215,6.5,37.5,44.0,21.0,5.0,5.0,12.5,25.0,9.0,Minnesota Timberwolves,2015-10-30 00:00:00,W,240.5,91.5,34.5,87.0,0.40549999999999997,9.0,26.0,0.3405,13.5,19.0,0.7085,13.0,37.0,50.0,20.5,8.0,7.0,17.5,26.5,1.5,Denver Nuggets,2015-10-30 00:00:00,L
0021500030,240.5,88.5,30.0,84.5,0.3555,6.5,29.0,0.223,22.0,31.0,0.702,13.5,33.0,46.5,18.0,8.0,8.5,16.0,19.5,-20.0,Houston Rockets,2015-10-30 00:00:00,L,240.0,111.5,42.0,94.5,0.4445,9.0,28.0,0.32299999999999995,18.5,23.5,0.7945,16.0,35.5,51.5,27.5,8.5,5.5,14.0,26.5,18.0,Golden State Warriors,2015-10-30 00:00:00,W
0021500031,240.0,112.5,38.0,89.5,0.42500000000000004,10.0,34.0,0.2945,26.5,31.0,0.8460000000000001,10.0,32.5,42.5,19.0,4.5,6.5,16.0,26.5,-9.5,Los Angeles Lakers,2015-10-30 00:00:00,L,239.5,118.0,46.5,97.5,0.47550000000000003,8.5,23.0,0.36550000000000005,16.5,24.0,0.6719999999999999,14.0,38.5,52.5,25.0,7.0,5.0,15.0,25.0,5.5,Sacramento Kings,2015-10-30 00:00:00,W
0021500032,239.0,102.5,35.5,85.0,0.4185,5.0,21.0,0.236,26.5,37.5,0.6990000000000001,12.0,42.0,54.0,16.0,8.0,5.0,18.5,23.5,1.0,Phoenix Suns,2015-10-30 00:00:00,W,240.5,102.0,39.0,87.0,0.4475,10.5,28.0,0.375,13.5,16.5,0.823,8.5,38.0,46.5,19.5,8.0,4.5,17.5,27.0,0.0,Portland Trail Blazers,2015-10-30 00:00:00,L
0021500033,240.33333333333334,92.66666666666667,32.333333333333336,78.0,0.41533333333333333,8.333333333333334,23.333333333333332,0.342,19.666666666666668,25.333333333333332,0.7696666666666667,8.333333333333334,29.0,37.333333333333336,18.666666666666668,9.666666666666666,4.666666666666667,19.0,23.666666666666668,-12.333333333333334,Indiana Pacers,2015-10-31 00:00:00,L,239.66666666666666,94.33333333333333,36.666666666666664,83.66666666666667,0.43966666666666665,5.0,13.333333333333334,0.36833333333333335,16.0,21.333333333333332,0.7453333333333333,10.666666666666666,34.666666666666664,45.333333333333336,16.333333333333332,9.0,6.0,12.0,23.666666666666668,14.666666666666666,Utah Jazz,2015-10-31 00:00:00,W
0021500034,239.66666666666666,105.33333333333333,35.333333333333336,80.66666666666667,0.44333333333333336,8.333333333333334,23.666666666666668,0.36466666666666664,26.333333333333332,34.0,0.7553333333333333,11.333333333333334,31.666666666666668,43.0,19.666666666666668,8.0,5.666666666666667,18.333333333333332,22.0,-0.3333333333333333,Washington Wizards,2015-10-31 00:00:00,L,239.66666666666666,113.33333333333333,40.333333333333336,90.66666666666667,0.446,8.0,23.666666666666668,0.35733333333333334,24.666666666666668,29.333333333333332,0.8489999999999999,14.666666666666666,31.0,45.666666666666664,22.0,9.666666666666666,5.333333333333333,16.666666666666668,27.333333333333332,7.0,New York Knicks,2015-10-31 00:00:00,W
0021500035,240.33333333333334,119.0,43.333333333333336,91.0,0.47900000000000004,11.666666666666666,28.666666666666668,0.40433333333333327,20.666666666666668,27.333333333333332,0.7676666666666666,11.666666666666666,35.333333333333336,47.0,27.0,9.0,5.0,12.666666666666666,25.666666666666668,16.666666666666668,Golden State Warriors,2015-10-31 00:00:00,W,239.66666666666666,103.0,39.0,91.33333333333333,0.426,8.333333333333334,24.333333333333332,0.3433333333333333,16.666666666666668,22.666666666666668,0.7283333333333334,9.666666666666666,30.333333333333332,40.0,20.666666666666668,6.666666666666667,3.0,14.666666666666666,22.0,-16.0,New Orleans Pelicans,2015-10-31 00:00:00,L
0021500036,240.33333333333334,96.33333333333333,34.666666666666664,81.33333333333333,0.4263333333333333,6.0,18.333333333333332,0.318,21.0,26.333333333333332,0.7923333333333332,11.333333333333334,30.0,41.333333333333336,22.333333333333332,8.666666666666666,3.3333333333333335,13.0,20.666666666666668,-3.6666666666666665,Memphis Grizzlies,2015-10-31 00:00:00,W,238.66666666666666,88.66666666666667,36.0,83.0,0.4343333333333333,2.6666666666666665,12.666666666666666,0.18133333333333335,14.0,20.333333333333332,0.662,8.666666666666666,31.333333333333332,40.0,19.0,6.666666666666667,4.666666666666667,13.333333333333334,19.0,-17.333333333333332,Brooklyn Nets,2015-10-31 00:00:00,L
0021500037,239.33333333333334,102.0,36.666666666666664,88.0,0.41733333333333333,7.0,24.666666666666668,0.27199999999999996,21.666666666666668,30.333333333333332,0.7160000000000001,11.666666666666666,40.333333333333336,52.0,16.0,9.0,5.333333333333333,16.666666666666668,22.333333333333332,4.333333333333333,Phoenix Suns,2015-10-31 00:00:00,W,240.0,98.0,37.0,84.33333333333333,0.43766666666666665,9.666666666666666,28.666666666666668,0.33899999999999997,14.333333333333334,20.333333333333332,0.739,9.0,37.0,46.0,19.666666666666668,7.666666666666667,4.666666666666667,17.0,24.666666666666668,-3.6666666666666665,Portland Trail Blazers,2015-10-31 00:00:00,L
0021500038,239.33333333333334,115.0,45.333333333333336,98.66666666666667,0.459,7.666666666666667,21.333333333333332,0.3546666666666667,16.666666666666668,24.333333333333332,0.6746666666666666,15.666666666666666,35.666666666666664,51.333333333333336,23.333333333333332,7.666666666666667,4.0,14.333333333333334,28.0,2.0,Sacramento Kings,2015-10-31 00:00:00,L,239.66666666666666,109.66666666666667,39.666666666666664,81.0,0.4916666666666667,6.0,22.333333333333332,0.26966666666666667,24.333333333333332,36.666666666666664,0.6596666666666667,6.666666666666667,38.666666666666664,45.333333333333336,22.0,6.0,8.666666666666666,13.333333333333334,19.333333333333332,9.333333333333334,LA Clippers,2015-10-31 00:00:00,W
0021500039,240.0,99.25,38.0,84.0,0.45275,8.25,25.75,0.3255,15.0,19.25,0.7985,7.75,35.25,43.0,23.25,9.5,4.5,14.0,19.0,1.0,Atlanta Hawks,2015-11-01 00:00:00,W,240.0,93.33333333333333,33.666666666666664,86.0,0.3913333333333333,10.666666666666666,30.333333333333332,0.3426666666666667,15.333333333333334,19.0,0.8203333333333335,11.0,36.333333333333336,47.333333333333336,22.0,6.0,6.666666666666667,12.333333333333334,16.666666666666668,-5.0,Charlotte Hornets,2015-11-01 00:00:00,L
0021500040,241.0,101.0,40.333333333333336,87.33333333333333,0.461,6.333333333333333,18.666666666666668,0.33499999999999996,14.0,17.0,0.8553333333333333,9.666666666666666,38.0,47.666666666666664,22.333333333333332,9.333333333333334,6.333333333333333,16.333333333333332,16.666666666666668,9.666666666666666,San Antonio Spurs,2015-11-01 00:00:00,W,240.33333333333334,100.66666666666667,35.333333333333336,89.33333333333333,0.3973333333333333,7.0,26.333333333333332,0.26966666666666667,23.0,27.333333333333332,0.843,11.0,30.333333333333332,41.333333333333336,25.0,11.333333333333334,5.0,16.666666666666668,24.666666666666668,-0.3333333333333333,Boston Celtics,2015-11-01 00:00:00,L
0021500041,239.33333333333334,101.66666666666667,37.0,78.66666666666667,0.47,9.0,21.0,0.43166666666666664,18.666666666666668,21.333333333333332,0.8743333333333334,6.333333333333333,36.0,42.333333333333336,22.666666666666668,7.0,6.333333333333333,12.666666666666666,20.333333333333332,6.666666666666667,Miami Heat,2015-11-01 00:00:00,W,240.0,88.66666666666667,30.666666666666668,82.66666666666667,0.37200000000000005,7.666666666666667,31.333333333333332,0.24133333333333332,19.666666666666668,26.666666666666668,0.7456666666666667,10.0,32.333333333333336,42.333333333333336,18.666666666666668,8.333333333333334,6.666666666666667,16.333333333333332,20.666666666666668,-20.0,Houston Rockets,2015-11-01 00:00:00,L
0021500042,239.0,108.33333333333333,37.666666666666664,84.0,0.4483333333333333,9.666666666666666,23.0,0.41733333333333333,23.333333333333332,31.333333333333332,0.733,12.0,37.666666666666664,49.666666666666664,21.333333333333332,10.333333333333334,2.6666666666666665,18.0,25.333333333333332,12.0,Toronto Raptors,2015-11-01 00:00:00,W,240.66666666666666,99.0,33.666666666666664,79.0,0.427,7.0,20.333333333333332,0.3516666666666666,24.666666666666668,27.666666666666668,0.8963333333333333,10.333333333333334,27.0,37.333333333333336,23.666666666666668,7.333333333333333,4.666666666666667,17.333333333333332,26.666666666666668,-16.333333333333332,Milwaukee Bucks,2015-11-01 00:00:00,L
0021500043,256.6666666666667,103.33333333333333,39.666666666666664,98.66666666666667,0.40066666666666667,8.0,27.333333333333332,0.2866666666666667,16.0,22.333333333333332,0.6813333333333333,14.333333333333334,35.0,49.333333333333336,22.0,8.666666666666666,9.0,15.333333333333334,24.0,-3.0,Orlando Magic,2015-11-01 00:00:00,L,246.0,99.5,36.5,84.0,0.43675,8.75,24.25,0.359,17.75,22.75,0.78525,7.75,38.0,45.75,18.5,7.5,7.25,16.0,21.5,4.5,Chicago Bulls,2015-11-01 00:00:00,W
